feature,source_series,group,feat_type
USGOVT__rollz24,USGOVT,Labor Market,rolling_stat
CES0600000007__rollmean6,CES0600000007,Labor Market,rolling_stat
CES0600000007__rollstd6,CES0600000007,Labor Market,rolling_stat
CES0600000007__rollz6,CES0600000007,Labor Market,rolling_stat
CES0600000007__rollmean12,CES0600000007,Labor Market,rolling_stat
CES0600000007__rollstd12,CES0600000007,Labor Market,rolling_stat
CES0600000007__rollz12,CES0600000007,Labor Market,rolling_stat
CES0600000007__rollmean24,CES0600000007,Labor Market,rolling_stat
CES0600000007__rollstd24,CES0600000007,Labor Market,rolling_stat
CES0600000007__rollz24,CES0600000007,Labor Market,rolling_stat
AWOTMAN__rollmean6,AWOTMAN,Labor Market,rolling_stat
AWOTMAN__rollstd6,AWOTMAN,Labor Market,rolling_stat
AWOTMAN__rollz6,AWOTMAN,Labor Market,rolling_stat
AWOTMAN__rollmean12,AWOTMAN,Labor Market,rolling_stat
AWOTMAN__rollstd12,AWOTMAN,Labor Market,rolling_stat
AWOTMAN__rollz12,AWOTMAN,Labor Market,rolling_stat
AWOTMAN__rollmean24,AWOTMAN,Labor Market,rolling_stat
AWOTMAN__rollstd24,AWOTMAN,Labor Market,rolling_stat
AWOTMAN__rollz24,AWOTMAN,Labor Market,rolling_stat
AWHMAN__rollmean6,AWHMAN,Labor Market,rolling_stat
AWHMAN__rollstd6,AWHMAN,Labor Market,rolling_stat
AWHMAN__rollz6,AWHMAN,Labor Market,rolling_stat
AWHMAN__rollmean12,AWHMAN,Labor Market,rolling_stat
AWHMAN__rollstd12,AWHMAN,Labor Market,rolling_stat
AWHMAN__rollz12,AWHMAN,Labor Market,rolling_stat
AWHMAN__rollmean24,AWHMAN,Labor Market,rolling_stat
AWHMAN__rollstd24,AWHMAN,Labor Market,rolling_stat
AWHMAN__rollz24,AWHMAN,Labor Market,rolling_stat
HOUST__rollmean6,HOUST,Housing,rolling_stat
HOUST__rollstd6,HOUST,Housing,rolling_stat
HOUST__rollz6,HOUST,Housing,rolling_stat
HOUST__rollmean12,HOUST,Housing,rolling_stat
HOUST__rollstd12,HOUST,Housing,rolling_stat
HOUST__rollz12,HOUST,Housing,rolling_stat
HOUST__rollmean24,HOUST,Housing,rolling_stat
HOUST__rollstd24,HOUST,Housing,rolling_stat
HOUST__rollz24,HOUST,Housing,rolling_stat
HOUSTNE__rollmean6,HOUSTNE,Housing,rolling_stat
HOUSTNE__rollstd6,HOUSTNE,Housing,rolling_stat
HOUSTNE__rollz6,HOUSTNE,Housing,rolling_stat
HOUSTNE__rollmean12,HOUSTNE,Housing,rolling_stat
HOUSTNE__rollstd12,HOUSTNE,Housing,rolling_stat
HOUSTNE__rollz12,HOUSTNE,Housing,rolling_stat
HOUSTNE__rollmean24,HOUSTNE,Housing,rolling_stat
HOUSTNE__rollstd24,HOUSTNE,Housing,rolling_stat
HOUSTNE__rollz24,HOUSTNE,Housing,rolling_stat
HOUSTMW__rollmean6,HOUSTMW,Housing,rolling_stat
HOUSTMW__rollstd6,HOUSTMW,Housing,rolling_stat
HOUSTMW__rollz6,HOUSTMW,Housing,rolling_stat
HOUSTMW__rollmean12,HOUSTMW,Housing,rolling_stat
HOUSTMW__rollstd12,HOUSTMW,Housing,rolling_stat
HOUSTMW__rollz12,HOUSTMW,Housing,rolling_stat
HOUSTMW__rollmean24,HOUSTMW,Housing,rolling_stat
HOUSTMW__rollstd24,HOUSTMW,Housing,rolling_stat
HOUSTMW__rollz24,HOUSTMW,Housing,rolling_stat
HOUSTS__rollmean6,HOUSTS,Housing,rolling_stat
HOUSTS__rollstd6,HOUSTS,Housing,rolling_stat
HOUSTS__rollz6,HOUSTS,Housing,rolling_stat
HOUSTS__rollmean12,HOUSTS,Housing,rolling_stat
HOUSTS__rollstd12,HOUSTS,Housing,rolling_stat
HOUSTS__rollz12,HOUSTS,Housing,rolling_stat
HOUSTS__rollmean24,HOUSTS,Housing,rolling_stat
HOUSTS__rollstd24,HOUSTS,Housing,rolling_stat
HOUSTS__rollz24,HOUSTS,Housing,rolling_stat
HOUSTW__rollmean6,HOUSTW,Housing,rolling_stat
HOUSTW__rollstd6,HOUSTW,Housing,rolling_stat
HOUSTW__rollz6,HOUSTW,Housing,rolling_stat
HOUSTW__rollmean12,HOUSTW,Housing,rolling_stat
HOUSTW__rollstd12,HOUSTW,Housing,rolling_stat
HOUSTW__rollz12,HOUSTW,Housing,rolling_stat
HOUSTW__rollmean24,HOUSTW,Housing,rolling_stat
HOUSTW__rollstd24,HOUSTW,Housing,rolling_stat
HOUSTW__rollz24,HOUSTW,Housing,rolling_stat
PERMIT__rollmean6,PERMIT,Housing,rolling_stat
PERMIT__rollstd6,PERMIT,Housing,rolling_stat
PERMIT__rollz6,PERMIT,Housing,rolling_stat
PERMIT__rollmean12,PERMIT,Housing,rolling_stat
PERMIT__rollstd12,PERMIT,Housing,rolling_stat
PERMIT__rollz12,PERMIT,Housing,rolling_stat
PERMIT__rollmean24,PERMIT,Housing,rolling_stat
PERMIT__rollstd24,PERMIT,Housing,rolling_stat
PERMIT__rollz24,PERMIT,Housing,rolling_stat
PERMITNE__rollmean6,PERMITNE,Housing,rolling_stat
PERMITNE__rollstd6,PERMITNE,Housing,rolling_stat
PERMITNE__rollz6,PERMITNE,Housing,rolling_stat
PERMITNE__rollmean12,PERMITNE,Housing,rolling_stat
PERMITNE__rollstd12,PERMITNE,Housing,rolling_stat
PERMITNE__rollz12,PERMITNE,Housing,rolling_stat
PERMITNE__rollmean24,PERMITNE,Housing,rolling_stat
PERMITNE__rollstd24,PERMITNE,Housing,rolling_stat
PERMITNE__rollz24,PERMITNE,Housing,rolling_stat
PERMITMW__rollmean6,PERMITMW,Housing,rolling_stat
PERMITMW__rollstd6,PERMITMW,Housing,rolling_stat
PERMITMW__rollz6,PERMITMW,Housing,rolling_stat
PERMITMW__rollmean12,PERMITMW,Housing,rolling_stat
PERMITMW__rollstd12,PERMITMW,Housing,rolling_stat
PERMITMW__rollz12,PERMITMW,Housing,rolling_stat
PERMITMW__rollmean24,PERMITMW,Housing,rolling_stat
PERMITMW__rollstd24,PERMITMW,Housing,rolling_stat
PERMITMW__rollz24,PERMITMW,Housing,rolling_stat
PERMITS__rollmean6,PERMITS,Housing,rolling_stat
PERMITS__rollstd6,PERMITS,Housing,rolling_stat
PERMITS__rollz6,PERMITS,Housing,rolling_stat
PERMITS__rollmean12,PERMITS,Housing,rolling_stat
PERMITS__rollstd12,PERMITS,Housing,rolling_stat
PERMITS__rollz12,PERMITS,Housing,rolling_stat
PERMITS__rollmean24,PERMITS,Housing,rolling_stat
PERMITS__rollstd24,PERMITS,Housing,rolling_stat
PERMITS__rollz24,PERMITS,Housing,rolling_stat
PERMITW__rollmean6,PERMITW,Housing,rolling_stat
PERMITW__rollstd6,PERMITW,Housing,rolling_stat
PERMITW__rollz6,PERMITW,Housing,rolling_stat
PERMITW__rollmean12,PERMITW,Housing,rolling_stat
PERMITW__rollstd12,PERMITW,Housing,rolling_stat
PERMITW__rollz12,PERMITW,Housing,rolling_stat
PERMITW__rollmean24,PERMITW,Housing,rolling_stat
PERMITW__rollstd24,PERMITW,Housing,rolling_stat
PERMITW__rollz24,PERMITW,Housing,rolling_stat
DPCERA3M086SBEA__rollmean6,DPCERA3M086SBEA,"Consumption, Orders and Inventories",rolling_stat
DPCERA3M086SBEA__rollstd6,DPCERA3M086SBEA,"Consumption, Orders and Inventories",rolling_stat
DPCERA3M086SBEA__rollz6,DPCERA3M086SBEA,"Consumption, Orders and Inventories",rolling_stat
DPCERA3M086SBEA__rollmean12,DPCERA3M086SBEA,"Consumption, Orders and Inventories",rolling_stat
DPCERA3M086SBEA__rollstd12,DPCERA3M086SBEA,"Consumption, Orders and Inventories",rolling_stat
DPCERA3M086SBEA__rollz12,DPCERA3M086SBEA,"Consumption, Orders and Inventories",rolling_stat
DPCERA3M086SBEA__rollmean24,DPCERA3M086SBEA,"Consumption, Orders and Inventories",rolling_stat
DPCERA3M086SBEA__rollstd24,DPCERA3M086SBEA,"Consumption, Orders and Inventories",rolling_stat
DPCERA3M086SBEA__rollz24,DPCERA3M086SBEA,"Consumption, Orders and Inventories",rolling_stat
M1SL__rollmean6,M1SL,Money and Credit,rolling_stat
M1SL__rollstd6,M1SL,Money and Credit,rolling_stat
M1SL__rollz6,M1SL,Money and Credit,rolling_stat
M1SL__rollmean12,M1SL,Money and Credit,rolling_stat
M1SL__rollstd12,M1SL,Money and Credit,rolling_stat
M1SL__rollz12,M1SL,Money and Credit,rolling_stat
M1SL__rollmean24,M1SL,Money and Credit,rolling_stat
M1SL__rollstd24,M1SL,Money and Credit,rolling_stat
M1SL__rollz24,M1SL,Money and Credit,rolling_stat
M2SL__rollmean6,M2SL,Money and Credit,rolling_stat
M2SL__rollstd6,M2SL,Money and Credit,rolling_stat
M2SL__rollz6,M2SL,Money and Credit,rolling_stat
M2SL__rollmean12,M2SL,Money and Credit,rolling_stat
M2SL__rollstd12,M2SL,Money and Credit,rolling_stat
M2SL__rollz12,M2SL,Money and Credit,rolling_stat
M2SL__rollmean24,M2SL,Money and Credit,rolling_stat
M2SL__rollstd24,M2SL,Money and Credit,rolling_stat
M2SL__rollz24,M2SL,Money and Credit,rolling_stat
M2REAL__rollmean6,M2REAL,Money and Credit,rolling_stat
M2REAL__rollstd6,M2REAL,Money and Credit,rolling_stat
M2REAL__rollz6,M2REAL,Money and Credit,rolling_stat
M2REAL__rollmean12,M2REAL,Money and Credit,rolling_stat
M2REAL__rollstd12,M2REAL,Money and Credit,rolling_stat
M2REAL__rollz12,M2REAL,Money and Credit,rolling_stat
M2REAL__rollmean24,M2REAL,Money and Credit,rolling_stat
M2REAL__rollstd24,M2REAL,Money and Credit,rolling_stat
M2REAL__rollz24,M2REAL,Money and Credit,rolling_stat
TOTRESNS__rollmean6,TOTRESNS,Money and Credit,rolling_stat
TOTRESNS__rollstd6,TOTRESNS,Money and Credit,rolling_stat
TOTRESNS__rollz6,TOTRESNS,Money and Credit,rolling_stat
TOTRESNS__rollmean12,TOTRESNS,Money and Credit,rolling_stat
TOTRESNS__rollstd12,TOTRESNS,Money and Credit,rolling_stat
TOTRESNS__rollz12,TOTRESNS,Money and Credit,rolling_stat
TOTRESNS__rollmean24,TOTRESNS,Money and Credit,rolling_stat
TOTRESNS__rollstd24,TOTRESNS,Money and Credit,rolling_stat
TOTRESNS__rollz24,TOTRESNS,Money and Credit,rolling_stat
NONBORRES__rollmean6,NONBORRES,Money and Credit,rolling_stat
NONBORRES__rollstd6,NONBORRES,Money and Credit,rolling_stat
NONBORRES__rollz6,NONBORRES,Money and Credit,rolling_stat
NONBORRES__rollmean12,NONBORRES,Money and Credit,rolling_stat
NONBORRES__rollstd12,NONBORRES,Money and Credit,rolling_stat
NONBORRES__rollz12,NONBORRES,Money and Credit,rolling_stat
NONBORRES__rollmean24,NONBORRES,Money and Credit,rolling_stat
NONBORRES__rollstd24,NONBORRES,Money and Credit,rolling_stat
NONBORRES__rollz24,NONBORRES,Money and Credit,rolling_stat
BUSLOANS__rollmean6,BUSLOANS,Money and Credit,rolling_stat
BUSLOANS__rollstd6,BUSLOANS,Money and Credit,rolling_stat
BUSLOANS__rollz6,BUSLOANS,Money and Credit,rolling_stat
BUSLOANS__rollmean12,BUSLOANS,Money and Credit,rolling_stat
BUSLOANS__rollstd12,BUSLOANS,Money and Credit,rolling_stat
BUSLOANS__rollz12,BUSLOANS,Money and Credit,rolling_stat
BUSLOANS__rollmean24,BUSLOANS,Money and Credit,rolling_stat
BUSLOANS__rollstd24,BUSLOANS,Money and Credit,rolling_stat
BUSLOANS__rollz24,BUSLOANS,Money and Credit,rolling_stat
REALLN__rollmean6,REALLN,Money and Credit,rolling_stat
REALLN__rollstd6,REALLN,Money and Credit,rolling_stat
REALLN__rollz6,REALLN,Money and Credit,rolling_stat
REALLN__rollmean12,REALLN,Money and Credit,rolling_stat
REALLN__rollstd12,REALLN,Money and Credit,rolling_stat
REALLN__rollz12,REALLN,Money and Credit,rolling_stat
REALLN__rollmean24,REALLN,Money and Credit,rolling_stat
REALLN__rollstd24,REALLN,Money and Credit,rolling_stat
REALLN__rollz24,REALLN,Money and Credit,rolling_stat
NONREVSL__rollmean6,NONREVSL,Money and Credit,rolling_stat
NONREVSL__rollstd6,NONREVSL,Money and Credit,rolling_stat
NONREVSL__rollz6,NONREVSL,Money and Credit,rolling_stat
NONREVSL__rollmean12,NONREVSL,Money and Credit,rolling_stat
NONREVSL__rollstd12,NONREVSL,Money and Credit,rolling_stat
NONREVSL__rollz12,NONREVSL,Money and Credit,rolling_stat
NONREVSL__rollmean24,NONREVSL,Money and Credit,rolling_stat
NONREVSL__rollstd24,NONREVSL,Money and Credit,rolling_stat
NONREVSL__rollz24,NONREVSL,Money and Credit,rolling_stat
DTCOLNVHFNM__rollmean6,DTCOLNVHFNM,Money and Credit,rolling_stat
DTCOLNVHFNM__rollstd6,DTCOLNVHFNM,Money and Credit,rolling_stat
DTCOLNVHFNM__rollz6,DTCOLNVHFNM,Money and Credit,rolling_stat
DTCOLNVHFNM__rollmean12,DTCOLNVHFNM,Money and Credit,rolling_stat
DTCOLNVHFNM__rollstd12,DTCOLNVHFNM,Money and Credit,rolling_stat
DTCOLNVHFNM__rollz12,DTCOLNVHFNM,Money and Credit,rolling_stat
DTCOLNVHFNM__rollmean24,DTCOLNVHFNM,Money and Credit,rolling_stat
DTCOLNVHFNM__rollstd24,DTCOLNVHFNM,Money and Credit,rolling_stat
DTCOLNVHFNM__rollz24,DTCOLNVHFNM,Money and Credit,rolling_stat
DTCTHFNM__rollmean6,DTCTHFNM,Money and Credit,rolling_stat
DTCTHFNM__rollstd6,DTCTHFNM,Money and Credit,rolling_stat
DTCTHFNM__rollz6,DTCTHFNM,Money and Credit,rolling_stat
DTCTHFNM__rollmean12,DTCTHFNM,Money and Credit,rolling_stat
DTCTHFNM__rollstd12,DTCTHFNM,Money and Credit,rolling_stat
DTCTHFNM__rollz12,DTCTHFNM,Money and Credit,rolling_stat
DTCTHFNM__rollmean24,DTCTHFNM,Money and Credit,rolling_stat
DTCTHFNM__rollstd24,DTCTHFNM,Money and Credit,rolling_stat
DTCTHFNM__rollz24,DTCTHFNM,Money and Credit,rolling_stat
INVEST__rollmean6,INVEST,Money and Credit,rolling_stat
INVEST__rollstd6,INVEST,Money and Credit,rolling_stat
INVEST__rollz6,INVEST,Money and Credit,rolling_stat
INVEST__rollmean12,INVEST,Money and Credit,rolling_stat
INVEST__rollstd12,INVEST,Money and Credit,rolling_stat
INVEST__rollz12,INVEST,Money and Credit,rolling_stat
INVEST__rollmean24,INVEST,Money and Credit,rolling_stat
INVEST__rollstd24,INVEST,Money and Credit,rolling_stat
INVEST__rollz24,INVEST,Money and Credit,rolling_stat
FEDFUNDS__rollmean6,FEDFUNDS,Interest and Exchange Rates,rolling_stat
FEDFUNDS__rollstd6,FEDFUNDS,Interest and Exchange Rates,rolling_stat
FEDFUNDS__rollz6,FEDFUNDS,Interest and Exchange Rates,rolling_stat
FEDFUNDS__rollmean12,FEDFUNDS,Interest and Exchange Rates,rolling_stat
FEDFUNDS__rollstd12,FEDFUNDS,Interest and Exchange Rates,rolling_stat
FEDFUNDS__rollz12,FEDFUNDS,Interest and Exchange Rates,rolling_stat
FEDFUNDS__rollmean24,FEDFUNDS,Interest and Exchange Rates,rolling_stat
FEDFUNDS__rollstd24,FEDFUNDS,Interest and Exchange Rates,rolling_stat
FEDFUNDS__rollz24,FEDFUNDS,Interest and Exchange Rates,rolling_stat
TB3MS__rollmean6,TB3MS,Interest and Exchange Rates,rolling_stat
TB3MS__rollstd6,TB3MS,Interest and Exchange Rates,rolling_stat
TB3MS__rollz6,TB3MS,Interest and Exchange Rates,rolling_stat
TB3MS__rollmean12,TB3MS,Interest and Exchange Rates,rolling_stat
TB3MS__rollstd12,TB3MS,Interest and Exchange Rates,rolling_stat
TB3MS__rollz12,TB3MS,Interest and Exchange Rates,rolling_stat
TB3MS__rollmean24,TB3MS,Interest and Exchange Rates,rolling_stat
TB3MS__rollstd24,TB3MS,Interest and Exchange Rates,rolling_stat
TB3MS__rollz24,TB3MS,Interest and Exchange Rates,rolling_stat
TB6MS__rollmean6,TB6MS,Interest and Exchange Rates,rolling_stat
TB6MS__rollstd6,TB6MS,Interest and Exchange Rates,rolling_stat
TB6MS__rollz6,TB6MS,Interest and Exchange Rates,rolling_stat
TB6MS__rollmean12,TB6MS,Interest and Exchange Rates,rolling_stat
TB6MS__rollstd12,TB6MS,Interest and Exchange Rates,rolling_stat
TB6MS__rollz12,TB6MS,Interest and Exchange Rates,rolling_stat
TB6MS__rollmean24,TB6MS,Interest and Exchange Rates,rolling_stat
TB6MS__rollstd24,TB6MS,Interest and Exchange Rates,rolling_stat
TB6MS__rollz24,TB6MS,Interest and Exchange Rates,rolling_stat
GS1__rollmean6,GS1,Interest and Exchange Rates,rolling_stat
GS1__rollstd6,GS1,Interest and Exchange Rates,rolling_stat
GS1__rollz6,GS1,Interest and Exchange Rates,rolling_stat
GS1__rollmean12,GS1,Interest and Exchange Rates,rolling_stat
GS1__rollstd12,GS1,Interest and Exchange Rates,rolling_stat
GS1__rollz12,GS1,Interest and Exchange Rates,rolling_stat
GS1__rollmean24,GS1,Interest and Exchange Rates,rolling_stat
GS1__rollstd24,GS1,Interest and Exchange Rates,rolling_stat
GS1__rollz24,GS1,Interest and Exchange Rates,rolling_stat
GS5__rollmean6,GS5,Interest and Exchange Rates,rolling_stat
GS5__rollstd6,GS5,Interest and Exchange Rates,rolling_stat
GS5__rollz6,GS5,Interest and Exchange Rates,rolling_stat
GS5__rollmean12,GS5,Interest and Exchange Rates,rolling_stat
GS5__rollstd12,GS5,Interest and Exchange Rates,rolling_stat
GS5__rollz12,GS5,Interest and Exchange Rates,rolling_stat
GS5__rollmean24,GS5,Interest and Exchange Rates,rolling_stat
GS5__rollstd24,GS5,Interest and Exchange Rates,rolling_stat
GS5__rollz24,GS5,Interest and Exchange Rates,rolling_stat
GS10__rollmean6,GS10,Interest and Exchange Rates,rolling_stat
GS10__rollstd6,GS10,Interest and Exchange Rates,rolling_stat
GS10__rollz6,GS10,Interest and Exchange Rates,rolling_stat
GS10__rollmean12,GS10,Interest and Exchange Rates,rolling_stat
GS10__rollstd12,GS10,Interest and Exchange Rates,rolling_stat
GS10__rollz12,GS10,Interest and Exchange Rates,rolling_stat
GS10__rollmean24,GS10,Interest and Exchange Rates,rolling_stat
GS10__rollstd24,GS10,Interest and Exchange Rates,rolling_stat
GS10__rollz24,GS10,Interest and Exchange Rates,rolling_stat
AAA__rollmean6,AAA,Interest and Exchange Rates,rolling_stat
AAA__rollstd6,AAA,Interest and Exchange Rates,rolling_stat
AAA__rollz6,AAA,Interest and Exchange Rates,rolling_stat
AAA__rollmean12,AAA,Interest and Exchange Rates,rolling_stat
AAA__rollstd12,AAA,Interest and Exchange Rates,rolling_stat
AAA__rollz12,AAA,Interest and Exchange Rates,rolling_stat
AAA__rollmean24,AAA,Interest and Exchange Rates,rolling_stat
AAA__rollstd24,AAA,Interest and Exchange Rates,rolling_stat
AAA__rollz24,AAA,Interest and Exchange Rates,rolling_stat
BAA__rollmean6,BAA,Interest and Exchange Rates,rolling_stat
BAA__rollstd6,BAA,Interest and Exchange Rates,rolling_stat
BAA__rollz6,BAA,Interest and Exchange Rates,rolling_stat
BAA__rollmean12,BAA,Interest and Exchange Rates,rolling_stat
BAA__rollstd12,BAA,Interest and Exchange Rates,rolling_stat
BAA__rollz12,BAA,Interest and Exchange Rates,rolling_stat
BAA__rollmean24,BAA,Interest and Exchange Rates,rolling_stat
BAA__rollstd24,BAA,Interest and Exchange Rates,rolling_stat
BAA__rollz24,BAA,Interest and Exchange Rates,rolling_stat
WPSFD49207__rollmean6,WPSFD49207,Prices,rolling_stat
WPSFD49207__rollstd6,WPSFD49207,Prices,rolling_stat
WPSFD49207__rollz6,WPSFD49207,Prices,rolling_stat
WPSFD49207__rollmean12,WPSFD49207,Prices,rolling_stat
WPSFD49207__rollstd12,WPSFD49207,Prices,rolling_stat
WPSFD49207__rollz12,WPSFD49207,Prices,rolling_stat
WPSFD49207__rollmean24,WPSFD49207,Prices,rolling_stat
WPSFD49207__rollstd24,WPSFD49207,Prices,rolling_stat
WPSFD49207__rollz24,WPSFD49207,Prices,rolling_stat
WPSFD49502__rollmean6,WPSFD49502,Prices,rolling_stat
WPSFD49502__rollstd6,WPSFD49502,Prices,rolling_stat
WPSFD49502__rollz6,WPSFD49502,Prices,rolling_stat
WPSFD49502__rollmean12,WPSFD49502,Prices,rolling_stat
WPSFD49502__rollstd12,WPSFD49502,Prices,rolling_stat
WPSFD49502__rollz12,WPSFD49502,Prices,rolling_stat
WPSFD49502__rollmean24,WPSFD49502,Prices,rolling_stat
WPSFD49502__rollstd24,WPSFD49502,Prices,rolling_stat
WPSFD49502__rollz24,WPSFD49502,Prices,rolling_stat
WPSID61__rollmean6,WPSID61,Prices,rolling_stat
WPSID61__rollstd6,WPSID61,Prices,rolling_stat
WPSID61__rollz6,WPSID61,Prices,rolling_stat
WPSID61__rollmean12,WPSID61,Prices,rolling_stat
WPSID61__rollstd12,WPSID61,Prices,rolling_stat
WPSID61__rollz12,WPSID61,Prices,rolling_stat
WPSID61__rollmean24,WPSID61,Prices,rolling_stat
WPSID61__rollstd24,WPSID61,Prices,rolling_stat
WPSID61__rollz24,WPSID61,Prices,rolling_stat
WPSID62__rollmean6,WPSID62,Prices,rolling_stat
WPSID62__rollstd6,WPSID62,Prices,rolling_stat
WPSID62__rollz6,WPSID62,Prices,rolling_stat
WPSID62__rollmean12,WPSID62,Prices,rolling_stat
WPSID62__rollstd12,WPSID62,Prices,rolling_stat
WPSID62__rollz12,WPSID62,Prices,rolling_stat
WPSID62__rollmean24,WPSID62,Prices,rolling_stat
WPSID62__rollstd24,WPSID62,Prices,rolling_stat
WPSID62__rollz24,WPSID62,Prices,rolling_stat
OILPRICEx__rollmean6,OILPRICEx,Prices,rolling_stat
OILPRICEx__rollstd6,OILPRICEx,Prices,rolling_stat
OILPRICEx__rollz6,OILPRICEx,Prices,rolling_stat
OILPRICEx__rollmean12,OILPRICEx,Prices,rolling_stat
OILPRICEx__rollstd12,OILPRICEx,Prices,rolling_stat
OILPRICEx__rollz12,OILPRICEx,Prices,rolling_stat
OILPRICEx__rollmean24,OILPRICEx,Prices,rolling_stat
OILPRICEx__rollstd24,OILPRICEx,Prices,rolling_stat
OILPRICEx__rollz24,OILPRICEx,Prices,rolling_stat
PPICMM__rollmean6,PPICMM,Prices,rolling_stat
PPICMM__rollstd6,PPICMM,Prices,rolling_stat
PPICMM__rollz6,PPICMM,Prices,rolling_stat
PPICMM__rollmean12,PPICMM,Prices,rolling_stat
PPICMM__rollstd12,PPICMM,Prices,rolling_stat
PPICMM__rollz12,PPICMM,Prices,rolling_stat
PPICMM__rollmean24,PPICMM,Prices,rolling_stat
PPICMM__rollstd24,PPICMM,Prices,rolling_stat
PPICMM__rollz24,PPICMM,Prices,rolling_stat
CPIAUCSL__rollmean6,CPIAUCSL,Prices,rolling_stat
CPIAUCSL__rollstd6,CPIAUCSL,Prices,rolling_stat
CPIAUCSL__rollz6,CPIAUCSL,Prices,rolling_stat
CPIAUCSL__rollmean12,CPIAUCSL,Prices,rolling_stat
CPIAUCSL__rollstd12,CPIAUCSL,Prices,rolling_stat
CPIAUCSL__rollz12,CPIAUCSL,Prices,rolling_stat
CPIAUCSL__rollmean24,CPIAUCSL,Prices,rolling_stat
CPIAUCSL__rollstd24,CPIAUCSL,Prices,rolling_stat
CPIAUCSL__rollz24,CPIAUCSL,Prices,rolling_stat
CPIAPPSL__rollmean6,CPIAPPSL,Prices,rolling_stat
CPIAPPSL__rollstd6,CPIAPPSL,Prices,rolling_stat
CPIAPPSL__rollz6,CPIAPPSL,Prices,rolling_stat
CPIAPPSL__rollmean12,CPIAPPSL,Prices,rolling_stat
CPIAPPSL__rollstd12,CPIAPPSL,Prices,rolling_stat
CPIAPPSL__rollz12,CPIAPPSL,Prices,rolling_stat
CPIAPPSL__rollmean24,CPIAPPSL,Prices,rolling_stat
CPIAPPSL__rollstd24,CPIAPPSL,Prices,rolling_stat
CPIAPPSL__rollz24,CPIAPPSL,Prices,rolling_stat
CPITRNSL__rollmean6,CPITRNSL,Prices,rolling_stat
CPITRNSL__rollstd6,CPITRNSL,Prices,rolling_stat
CPITRNSL__rollz6,CPITRNSL,Prices,rolling_stat
CPITRNSL__rollmean12,CPITRNSL,Prices,rolling_stat
CPITRNSL__rollstd12,CPITRNSL,Prices,rolling_stat
CPITRNSL__rollz12,CPITRNSL,Prices,rolling_stat
CPITRNSL__rollmean24,CPITRNSL,Prices,rolling_stat
CPITRNSL__rollstd24,CPITRNSL,Prices,rolling_stat
CPITRNSL__rollz24,CPITRNSL,Prices,rolling_stat
CPIMEDSL__rollmean6,CPIMEDSL,Prices,rolling_stat
CPIMEDSL__rollstd6,CPIMEDSL,Prices,rolling_stat
CPIMEDSL__rollz6,CPIMEDSL,Prices,rolling_stat
CPIMEDSL__rollmean12,CPIMEDSL,Prices,rolling_stat
CPIMEDSL__rollstd12,CPIMEDSL,Prices,rolling_stat
CPIMEDSL__rollz12,CPIMEDSL,Prices,rolling_stat
CPIMEDSL__rollmean24,CPIMEDSL,Prices,rolling_stat
CPIMEDSL__rollstd24,CPIMEDSL,Prices,rolling_stat
CPIMEDSL__rollz24,CPIMEDSL,Prices,rolling_stat
CUSR0000SAC__rollmean6,CUSR0000SAC,Prices,rolling_stat
CUSR0000SAC__rollstd6,CUSR0000SAC,Prices,rolling_stat
CUSR0000SAC__rollz6,CUSR0000SAC,Prices,rolling_stat
CUSR0000SAC__rollmean12,CUSR0000SAC,Prices,rolling_stat
CUSR0000SAC__rollstd12,CUSR0000SAC,Prices,rolling_stat
CUSR0000SAC__rollz12,CUSR0000SAC,Prices,rolling_stat
CUSR0000SAC__rollmean24,CUSR0000SAC,Prices,rolling_stat
CUSR0000SAC__rollstd24,CUSR0000SAC,Prices,rolling_stat
CUSR0000SAC__rollz24,CUSR0000SAC,Prices,rolling_stat
CUUR0000SAD__rollmean6,CUUR0000SAD,Prices,rolling_stat
CUUR0000SAD__rollstd6,CUUR0000SAD,Prices,rolling_stat
CUUR0000SAD__rollz6,CUUR0000SAD,Prices,rolling_stat
CUUR0000SAD__rollmean12,CUUR0000SAD,Prices,rolling_stat
CUUR0000SAD__rollstd12,CUUR0000SAD,Prices,rolling_stat
CUUR0000SAD__rollz12,CUUR0000SAD,Prices,rolling_stat
CUUR0000SAD__rollmean24,CUUR0000SAD,Prices,rolling_stat
CUUR0000SAD__rollstd24,CUUR0000SAD,Prices,rolling_stat
CUUR0000SAD__rollz24,CUUR0000SAD,Prices,rolling_stat
CUSR0000SAS__rollmean6,CUSR0000SAS,Prices,rolling_stat
CUSR0000SAS__rollstd6,CUSR0000SAS,Prices,rolling_stat
CUSR0000SAS__rollz6,CUSR0000SAS,Prices,rolling_stat
CUSR0000SAS__rollmean12,CUSR0000SAS,Prices,rolling_stat
CUSR0000SAS__rollstd12,CUSR0000SAS,Prices,rolling_stat
CUSR0000SAS__rollz12,CUSR0000SAS,Prices,rolling_stat
CUSR0000SAS__rollmean24,CUSR0000SAS,Prices,rolling_stat
CUSR0000SAS__rollstd24,CUSR0000SAS,Prices,rolling_stat
CUSR0000SAS__rollz24,CUSR0000SAS,Prices,rolling_stat
CPIULFSL__rollmean6,CPIULFSL,Prices,rolling_stat
CPIULFSL__rollstd6,CPIULFSL,Prices,rolling_stat
CPIULFSL__rollz6,CPIULFSL,Prices,rolling_stat
CPIULFSL__rollmean12,CPIULFSL,Prices,rolling_stat
