feature,source_series,group,feat_type
UEMP27OV__lag6,UEMP27OV,Labor Market,lag
UEMP27OV__lag9,UEMP27OV,Labor Market,lag
UEMP27OV__lag12,UEMP27OV,Labor Market,lag
PAYEMS__lag1,PAYEMS,Labor Market,lag
PAYEMS__lag3,PAYEMS,Labor Market,lag
PAYEMS__lag6,PAYEMS,Labor Market,lag
PAYEMS__lag9,PAYEMS,Labor Market,lag
PAYEMS__lag12,PAYEMS,Labor Market,lag
USGOOD__lag1,USGOOD,Labor Market,lag
USGOOD__lag3,USGOOD,Labor Market,lag
USGOOD__lag6,USGOOD,Labor Market,lag
USGOOD__lag9,USGOOD,Labor Market,lag
USGOOD__lag12,USGOOD,Labor Market,lag
CES1021000001__lag1,CES1021000001,Labor Market,lag
CES1021000001__lag3,CES1021000001,Labor Market,lag
CES1021000001__lag6,CES1021000001,Labor Market,lag
CES1021000001__lag9,CES1021000001,Labor Market,lag
CES1021000001__lag12,CES1021000001,Labor Market,lag
USCONS__lag1,USCONS,Labor Market,lag
USCONS__lag3,USCONS,Labor Market,lag
USCONS__lag6,USCONS,Labor Market,lag
USCONS__lag9,USCONS,Labor Market,lag
USCONS__lag12,USCONS,Labor Market,lag
MANEMP__lag1,MANEMP,Labor Market,lag
MANEMP__lag3,MANEMP,Labor Market,lag
MANEMP__lag6,MANEMP,Labor Market,lag
MANEMP__lag9,MANEMP,Labor Market,lag
MANEMP__lag12,MANEMP,Labor Market,lag
DMANEMP__lag1,DMANEMP,Labor Market,lag
DMANEMP__lag3,DMANEMP,Labor Market,lag
DMANEMP__lag6,DMANEMP,Labor Market,lag
DMANEMP__lag9,DMANEMP,Labor Market,lag
DMANEMP__lag12,DMANEMP,Labor Market,lag
NDMANEMP__lag1,NDMANEMP,Labor Market,lag
NDMANEMP__lag3,NDMANEMP,Labor Market,lag
NDMANEMP__lag6,NDMANEMP,Labor Market,lag
NDMANEMP__lag9,NDMANEMP,Labor Market,lag
NDMANEMP__lag12,NDMANEMP,Labor Market,lag
SRVPRD__lag1,SRVPRD,Labor Market,lag
SRVPRD__lag3,SRVPRD,Labor Market,lag
SRVPRD__lag6,SRVPRD,Labor Market,lag
SRVPRD__lag9,SRVPRD,Labor Market,lag
SRVPRD__lag12,SRVPRD,Labor Market,lag
USTPU__lag1,USTPU,Labor Market,lag
USTPU__lag3,USTPU,Labor Market,lag
USTPU__lag6,USTPU,Labor Market,lag
USTPU__lag9,USTPU,Labor Market,lag
USTPU__lag12,USTPU,Labor Market,lag
USWTRADE__lag1,USWTRADE,Labor Market,lag
USWTRADE__lag3,USWTRADE,Labor Market,lag
USWTRADE__lag6,USWTRADE,Labor Market,lag
USWTRADE__lag9,USWTRADE,Labor Market,lag
USWTRADE__lag12,USWTRADE,Labor Market,lag
USTRADE__lag1,USTRADE,Labor Market,lag
USTRADE__lag3,USTRADE,Labor Market,lag
USTRADE__lag6,USTRADE,Labor Market,lag
USTRADE__lag9,USTRADE,Labor Market,lag
USTRADE__lag12,USTRADE,Labor Market,lag
USFIRE__lag1,USFIRE,Labor Market,lag
USFIRE__lag3,USFIRE,Labor Market,lag
USFIRE__lag6,USFIRE,Labor Market,lag
USFIRE__lag9,USFIRE,Labor Market,lag
USFIRE__lag12,USFIRE,Labor Market,lag
USGOVT__lag1,USGOVT,Labor Market,lag
USGOVT__lag3,USGOVT,Labor Market,lag
USGOVT__lag6,USGOVT,Labor Market,lag
USGOVT__lag9,USGOVT,Labor Market,lag
USGOVT__lag12,USGOVT,Labor Market,lag
CES0600000007__lag1,CES0600000007,Labor Market,lag
CES0600000007__lag3,CES0600000007,Labor Market,lag
CES0600000007__lag6,CES0600000007,Labor Market,lag
CES0600000007__lag9,CES0600000007,Labor Market,lag
CES0600000007__lag12,CES0600000007,Labor Market,lag
AWOTMAN__lag1,AWOTMAN,Labor Market,lag
AWOTMAN__lag3,AWOTMAN,Labor Market,lag
AWOTMAN__lag6,AWOTMAN,Labor Market,lag
AWOTMAN__lag9,AWOTMAN,Labor Market,lag
AWOTMAN__lag12,AWOTMAN,Labor Market,lag
AWHMAN__lag1,AWHMAN,Labor Market,lag
AWHMAN__lag3,AWHMAN,Labor Market,lag
AWHMAN__lag6,AWHMAN,Labor Market,lag
AWHMAN__lag9,AWHMAN,Labor Market,lag
AWHMAN__lag12,AWHMAN,Labor Market,lag
HOUST__lag1,HOUST,Housing,lag
HOUST__lag3,HOUST,Housing,lag
HOUST__lag6,HOUST,Housing,lag
HOUST__lag9,HOUST,Housing,lag
HOUST__lag12,HOUST,Housing,lag
HOUSTNE__lag1,HOUSTNE,Housing,lag
HOUSTNE__lag3,HOUSTNE,Housing,lag
HOUSTNE__lag6,HOUSTNE,Housing,lag
HOUSTNE__lag9,HOUSTNE,Housing,lag
HOUSTNE__lag12,HOUSTNE,Housing,lag
HOUSTMW__lag1,HOUSTMW,Housing,lag
HOUSTMW__lag3,HOUSTMW,Housing,lag
HOUSTMW__lag6,HOUSTMW,Housing,lag
HOUSTMW__lag9,HOUSTMW,Housing,lag
HOUSTMW__lag12,HOUSTMW,Housing,lag
HOUSTS__lag1,HOUSTS,Housing,lag
HOUSTS__lag3,HOUSTS,Housing,lag
HOUSTS__lag6,HOUSTS,Housing,lag
HOUSTS__lag9,HOUSTS,Housing,lag
HOUSTS__lag12,HOUSTS,Housing,lag
HOUSTW__lag1,HOUSTW,Housing,lag
HOUSTW__lag3,HOUSTW,Housing,lag
HOUSTW__lag6,HOUSTW,Housing,lag
HOUSTW__lag9,HOUSTW,Housing,lag
HOUSTW__lag12,HOUSTW,Housing,lag
PERMIT__lag1,PERMIT,Housing,lag
PERMIT__lag3,PERMIT,Housing,lag
PERMIT__lag6,PERMIT,Housing,lag
PERMIT__lag9,PERMIT,Housing,lag
PERMIT__lag12,PERMIT,Housing,lag
PERMITNE__lag1,PERMITNE,Housing,lag
PERMITNE__lag3,PERMITNE,Housing,lag
PERMITNE__lag6,PERMITNE,Housing,lag
PERMITNE__lag9,PERMITNE,Housing,lag
