Feature,Importance,source_series,group,feat_type
DNDGRG3M086SBEA__mom6,8.239777e-05,DNDGRG3M086SBEA,Prices,momentum
CUSR0000SAS__base,8.2317056e-05,CUSR0000SAS,Prices,base
OILPRICEx__lag6,8.19031e-05,OILPRICEx,Prices,lag
TERM_SPREAD_10Y3M,8.181218e-05,TERM_SPREAD_10Y3M,Interest and Exchange Rates,spread
SP500__realizedvol6,8.1667495e-05,SP500__realizedvol6,Stock Market,volatility
IPFINAL__rollz24,8.137868e-05,IPFINAL,Output and Income,rolling_stat
PERMITS__rollmean24,8.137757e-05,PERMITS,Housing,rolling_stat
CES0600000007__lag3,8.092735e-05,CES0600000007,Labor Market,lag
IPNMAT__lag1,8.0531565e-05,IPNMAT,Output and Income,lag
CES3000000008__lag9,8.045474e-05,CES3000000008,Prices,lag
W875RX1__rollmean24,8.043915e-05,W875RX1,Output and Income,rolling_stat
UEMP27OV__base,8.0321435e-05,UEMP27OV,Labor Market,base
REALLN__base,7.9868565e-05,REALLN,Money and Credit,base
IPMAT__rollmean6,7.949855e-05,IPMAT,Output and Income,rolling_stat
IPCONGD__lag1,7.947285e-05,IPCONGD,Output and Income,lag
TB3MS__base,7.944692e-05,TB3MS,Interest and Exchange Rates,base
